iter	RMSE
0	1.614910579
1	1.567995687
2	1.524549726
3	1.48641505
4	1.4531623
5	1.422402001
6	1.397352183
7	1.376232461
8	1.356022515
9	1.337462772
10	1.322762201
11	1.308865108
12	1.296439039
13	1.28546324
14	1.276940402
15	1.268727519
16	1.261458938
17	1.254596008
18	1.248476469
19	1.243043092
20	1.238270559
21	1.234125963
22	1.23010592
23	1.226244548
24	1.223450185
25	1.220301121
26	1.218022929
27	1.215698612
28	1.213515972
29	1.211662445
30	1.209835173
31	1.208107222
32	1.206549828
33	1.20514642
34	1.203787812
35	1.202734867
36	1.201745759
37	1.20038198
38	1.199364903
39	1.198641703
40	1.19771317
41	1.196944896
42	1.196183158
43	1.195329713
44	1.194535024
45	1.193938839
46	1.193306218
47	1.192572488
48	1.191945181
49	1.191373973
50	1.19073099
51	1.190146748
52	1.189566241
53	1.189041893
54	1.188679434
55	1.188139318
56	1.187654809
57	1.187089507
58	1.186383021
59	1.186017657
