iter	Passed	Remaining
0	2	155
1	4	135
2	6	126
3	8	120
4	10	117
5	12	116
6	14	110
7	16	106
8	18	103
9	20	102
10	22	98
11	23	95
12	26	94
13	28	92
14	30	90
15	31	87
16	33	84
17	35	82
18	37	80
19	38	77
20	40	75
21	42	73
22	44	71
23	46	69
24	47	67
25	49	64
26	51	62
27	52	60
28	54	58
29	56	56
30	58	54
31	59	52
32	61	50
33	63	48
34	65	46
35	67	44
36	68	42
37	70	40
38	72	39
39	74	37
40	76	35
41	77	33
42	79	31
43	81	29
44	83	27
45	85	26
46	87	24
47	89	22
48	91	20
49	92	18
50	94	16
51	96	14
52	98	12
53	99	11
54	101	9
55	103	7
56	104	5
57	106	3
58	108	1
59	110	0
