scheduled_shipping_days,actual_shipping_days,delay_days,late_delivery_risk,shipping_mode,order_item_quantity,product_price,product_category,order_region,weather_risk_score,geopolitical_risk_score,port_congestion_index,supplier_dependency_ratio
5.0,12.1,7.1,1,Standard Class,5,26.86,Apparel,Europe,57.3,99.4,4.5,0.87
1.0,3.8,2.8,1,Same Day,8,249.45,Industrial Parts,South Asia,26.5,87.7,3.3,0.46
3.0,11.1,8.1,1,Second Class,1,494.2,Automotive,Europe,57.6,84.7,9.5,0.73
5.0,8.0,3.0,1,Standard Class,5,105.92,Electronics,Europe,42.6,56.9,4.6,0.65
5.0,10.3,5.3,1,Standard Class,1,273.07,Electronics,North America,37.3,9.5,7.6,0.89
5.0,10.1,5.1,1,Standard Class,7,338.78,Electronics,North America,18.4,1.5,7.0,0.65
5.0,8.4,3.4,1,Standard Class,7,247.0,Chemicals,South Asia,56.2,83.9,2.4,0.21
2.0,6.7,4.7,1,First Class,8,258.4,Chemicals,Europe,72.9,17.7,9.1,0.72
3.0,6.6,3.6,1,Second Class,7,334.0,Electronics,North America,57.1,7.7,5.4,0.37
3.0,6.6,3.6,1,Second Class,9,409.3,Apparel,Latin America,6.9,71.0,8.6,0.28
5.0,8.8,3.8,1,Standard Class,8,173.31,Apparel,Latin America,92.4,0.1,8.3,0.3
1.0,3.3,2.3,1,Same Day,8,450.64,Chemicals,Latin America,0.5,74.1,0.6,0.79
2.0,8.1,6.1,1,First Class,3,247.6,Electronics,Latin America,88.5,19.2,6.2,0.46
5.0,8.5,3.5,1,Standard Class,4,334.32,Apparel,Europe,76.6,32.1,7.9,0.47
5.0,9.4,4.4,1,Standard Class,4,62.19,Chemicals,Latin America,9.7,17.2,9.1,0.06
5.0,7.0,2.0,0,Standard Class,1,251.31,Electronics,Europe,23.7,77.7,5.1,0.29
5.0,10.8,5.8,1,Standard Class,6,17.89,Industrial Parts,South Asia,34.9,48.5,7.5,0.85
5.0,12.3,7.3,1,Standard Class,2,201.6,Electronics,South Asia,91.0,16.6,9.7,0.5
5.0,9.2,4.2,1,Standard Class,9,36.7,Electronics,Latin America,98.0,3.9,8.3,0.42
5.0,9.5,4.5,1,Standard Class,1,449.52,Automotive,Latin America,8.7,98.7,8.5,0.12
3.0,6.3,3.3,1,Second Class,1,339.67,Automotive,Latin America,39.7,71.4,4.1,0.31
5.0,5.0,-0.0,0,Standard Class,6,398.02,Industrial Parts,South Asia,14.9,68.0,0.9,0.17
5.0,9.0,4.0,1,Standard Class,1,239.16,Industrial Parts,North America,27.8,50.3,9.7,0.2
5.0,9.6,4.6,1,Standard Class,3,427.43,Electronics,South Asia,98.1,43.5,7.0,0.35
5.0,10.0,5.0,1,Standard Class,2,437.79,Apparel,Latin America,98.4,79.6,1.7,0.11
3.0,9.1,6.1,1,Second Class,9,184.84,Industrial Parts,North America,47.2,82.7,9.7,0.75
5.0,10.2,5.2,1,Standard Class,5,194.66,Electronics,North America,18.3,6.1,7.2,0.61
5.0,9.5,4.5,1,Standard Class,6,259.04,Chemicals,East Asia,54.7,85.9,0.9,0.77
5.0,8.2,3.2,1,Standard Class,2,30.7,Automotive,Europe,32.1,76.2,1.7,0.36
5.0,11.0,6.0,1,Standard Class,8,497.93,Apparel,Latin America,92.9,48.6,8.7,0.25
3.0,11.9,8.9,1,Second Class,6,186.0,Electronics,Europe,81.8,47.6,9.5,0.58
5.0,8.9,3.9,1,Standard Class,8,240.71,Chemicals,East Asia,30.9,83.5,3.6,0.07
5.0,6.9,1.9,0,Standard Class,8,379.83,Automotive,Europe,1.8,79.4,4.1,0.13
2.0,6.8,4.8,1,First Class,1,155.78,Chemicals,Latin America,99.8,13.9,4.0,0.72
1.0,5.1,4.1,1,Same Day,7,108.8,Electronics,East Asia,68.3,54.9,8.4,0.85
2.0,5.2,3.2,1,First Class,2,72.45,Industrial Parts,Europe,42.6,96.9,4.5,0.23
