origin_city,destination_city,distance_km,transport_mode,shipment_weight_kg,quantity,product_category,traffic_density_index,shipping_cost_inr
Kochi,Delhi,1616.7,Rail,135.5,85,Textiles,2.0,6652.09
Pune,Mumbai,1190.1,Sea,4134.1,25,Automotive Components,3.5,70277.47
Hyderabad,Chennai,1650.5,Rail,4396.3,9,Consumer Goods,2.5,158228.02
Mumbai,Chennai,801.8,Rail,1860.1,21,Automotive Components,4.9,34378.89
Hyderabad,Delhi,972.5,Rail,3521.2,55,Heavy Machinery,4.9,82744.97
Kochi,Hyderabad,521.9,Sea,371.6,66,Automotive Components,4.0,4358.61
Delhi,Chennai,2209.0,Air,4449.2,70,Automotive Components,9.9,1510424.94
Visakhapatnam,Hyderabad,335.8,Road,4538.6,20,Textiles,7.8,69376.9
Hyderabad,Visakhapatnam,1147.6,Air,826.4,77,Heavy Machinery,1.8,129346.74
Delhi,Kolkata,1340.1,Road,3914.0,78,Automotive Components,4.6,208716.31
Mumbai,Pune,667.3,Road,2392.6,3,Textiles,8.7,74290.99
Bengaluru,Ahmedabad,1169.8,Rail,3421.0,44,Heavy Machinery,2.5,90438.06
Pune,Ahmedabad,1257.9,Road,2399.7,41,Textiles,5.2,126896.54
Kolkata,Chennai,744.5,Road,439.4,25,Textiles,8.0,16287.56
Kochi,Kolkata,1844.0,Air,4208.2,51,Automotive Components,1.8,994935.34
Bengaluru,Visakhapatnam,231.8,Road,474.4,15,Consumer Goods,8.4,6651.85
Delhi,Pune,673.5,Air,1832.8,77,Automotive Components,2.0,157204.36
Pune,Ahmedabad,1803.8,Rail,4930.5,28,Heavy Machinery,5.2,210875.19
Visakhapatnam,Delhi,1812.9,Air,2162.1,59,Textiles,9.6,596268.21
Mumbai,Kochi,852.9,Sea,4110.4,68,Consumer Goods,5.6,53760.4
Kolkata,Mumbai,1960.1,Rail,886.2,90,Heavy Machinery,9.1,43425.55
Bengaluru,Visakhapatnam,1394.9,Rail,4158.8,45,Pharmaceuticals,9.3,141074.74
Visakhapatnam,Ahmedabad,1547.2,Air,2333.0,83,Textiles,4.9,482420.97
Ahmedabad,Mumbai,1031.4,Rail,2574.2,65,Heavy Machinery,9.4,70518.03
Visakhapatnam,Kochi,2758.3,Road,4844.8,29,Pharmaceuticals,1.8,525638.99
Pune,Delhi,2104.1,Air,4436.4,28,Consumer Goods,4.1,1276806.29
Bengaluru,Pune,808.3,Road,1771.5,35,Textiles,9.0,67429.88
Chennai,Bengaluru,776.9,Road,4749.6,13,Heavy Machinery,5.8,154721.15
Ahmedabad,Bengaluru,2201.6,Rail,560.5,51,Consumer Goods,7.4,31614.12
Mumbai,Chennai,1178.2,Road,179.6,97,Consumer Goods,1.4,9540.13
Hyderabad,Visakhapatnam,392.5,Road,2686.6,69,Pharmaceuticals,7.0,45521.9
Delhi,Visakhapatnam,244.3,Rail,3861.0,14,Heavy Machinery,8.6,25609.88
Pune,Ahmedabad,1247.0,Road,1143.7,73,Consumer Goods,7.1,63440.91
Hyderabad,Ahmedabad,1249.0,Rail,447.5,68,Pharmaceuticals,9.6,16000.76
Bengaluru,Mumbai,2023.2,Rail,4235.3,66,Heavy Machinery,7.2,212959.45
Bengaluru,Pune,1673.1,Rail,4932.3,78,Pharmaceuticals,3.8,182248.67
Delhi,Bengaluru,2190.8,Air,3486.9,3,Heavy Machinery,3.3,1003560.27
Hyderabad,Kochi,992.0,Sea,4877.6,4,Heavy Machinery,6.7,76195.03
Bengaluru,Kolkata,1804.3,Rail,4171.7,45,Textiles,1.9,167741.92
Ahmedabad,Kolkata,2497.1,Rail,1296.7,71,Heavy Machinery,4.5,73352.99
Visakhapatnam,Pune,333.6,Sea,593.4,15,Heavy Machinery,4.9,4376.75
Kolkata,Mumbai,2027.4,Road,4054.2,52,Pharmaceuticals,6.4,347310.64
Hyderabad,Mumbai,2047.1,Rail,3315.0,92,Consumer Goods,3.1,153994.5
Bengaluru,Pune,2254.2,Rail,4073.8,68,Consumer Goods,9.3,230911.89
Mumbai,Kochi,863.0,Rail,3605.9,76,Consumer Goods,9.5,81431.32
Hyderabad,Ahmedabad,1253.8,Air,2550.5,59,Consumer Goods,6.4,459518.58
Delhi,Kochi,785.2,Road,4707.1,17,Automotive Components,7.0,158306.51
Kochi,Delhi,967.7,Road,3780.1,17,Textiles,3.8,157142.0
Bengaluru,Kolkata,2716.5,Air,92.2,6,Automotive Components,3.3,35380.91
Visakhapatnam,Kolkata,1331.0,Air,3536.1,51,Textiles,3.4,663756.66
Pune,Kolkata,2398.7,Rail,2743.5,44,Pharmaceuticals,4.7,149529.34
Kolkata,Bengaluru,2256.4,Rail,734.6,48,Consumer Goods,9.4,40842.91
Visakhapatnam,Mumbai,1328.0,Rail,2203.9,3,Pharmaceuticals,3.8,68700.82
Kolkata,Delhi,2779.3,Road,2644.6,12,Pharmaceuticals,3.6,299018.5
Chennai,Pune,2378.1,Rail,2368.8,54,Automotive Components,3.9,130888.88
Pune,Kochi,1429.1,Rail,2200.2,52,Automotive Components,3.1,71365.32
Mumbai,Visakhapatnam,970.7,Road,3174.4,34,Textiles,7.6,140824.63
Mumbai,Visakhapatnam,349.5,Sea,3310.1,65,Pharmaceuticals,4.6,17970.67
Kolkata,Visakhapatnam,1381.7,Rail,3502.8,5,Pharmaceuticals,5.2,114841.95
Bengaluru,Pune,1104.0,Sea,3819.1,70,Textiles,7.4,65727.4
Kolkata,Delhi,2035.1,Road,4174.1,15,Automotive Components,6.9,370750.22
Mumbai,Kolkata,202.1,Road,2892.1,62,Consumer Goods,4.6,26420.89
Mumbai,Visakhapatnam,2353.3,Road,411.0,52,Automotive Components,1.2,39665.79
Hyderabad,Chennai,1254.1,Rail,1855.6,21,Pharmaceuticals,9.0,59427.28
Mumbai,Hyderabad,1394.8,Rail,68.8,64,Automotive Components,2.0,3699.1
Kochi,Hyderabad,634.4,Air,2996.3,34,Pharmaceuticals,8.6,279496.33
Pune,Ahmedabad,2634.3,Road,4876.5,54,Automotive Components,7.7,560559.42
Mumbai,Pune,1205.7,Rail,4144.1,73,Consumer Goods,8.5,126219.35
Delhi,Kolkata,2383.2,Rail,2456.9,8,Consumer Goods,9.0,155700.09
Kolkata,Visakhapatnam,779.3,Road,3555.6,5,Automotive Components,1.4,110804.69
Kolkata,Visakhapatnam,406.1,Sea,3722.3,90,Consumer Goods,4.9,23377.16
Kochi,Hyderabad,1834.8,Road,2994.4,73,Consumer Goods,1.5,212882.57
Visakhapatnam,Pune,2758.7,Rail,4433.6,21,Consumer Goods,3.9,277107.87
Mumbai,Delhi,1864.4,Rail,1643.1,87,Textiles,2.3,68165.53
Pune,Chennai,1763.1,Road,3383.2,87,Consumer Goods,6.2,261002.05
Hyderabad,Mumbai,1321.9,Road,370.0,92,Automotive Components,6.5,22807.13
Kolkata,Mumbai,902.1,Rail,734.3,71,Heavy Machinery,6.1,18020.06
Visakhapatnam,Kochi,1291.7,Road,4695.4,98,Automotive Components,3.0,239364.13
Ahmedabad,Hyderabad,544.7,Road,2738.2,93,Consumer Goods,3.2,61477.44
Kolkata,Ahmedabad,844.1,Rail,3784.2,88,Automotive Components,3.8,72671.35
Kolkata,Chennai,1441.6,Rail,4353.0,55,Textiles,2.4,129975.34
Kolkata,Ahmedabad,533.7,Rail,4674.0,27,Automotive Components,4.9,57092.76
Ahmedabad,Pune,2247.6,Road,494.3,55,Consumer Goods,7.3,49792.78
Mumbai,Chennai,180.6,Road,3524.0,21,Pharmaceuticals,8.2,30056.03
Visakhapatnam,Mumbai,1002.2,Sea,3167.7,34,Consumer Goods,1.2,44113.99
Kochi,Delhi,1519.1,Rail,3020.7,76,Automotive Components,1.4,102126.33
Ahmedabad,Bengaluru,2611.7,Sea,769.9,17,Heavy Machinery,6.6,30385.88
Mumbai,Visakhapatnam,1669.6,Road,3877.3,6,Automotive Components,5.1,268308.94
Ahmedabad,Kochi,931.5,Air,1612.1,1,Heavy Machinery,4.1,210002.26
Hyderabad,Bengaluru,1083.3,Road,1149.9,9,Pharmaceuticals,8.0,58256.84
Kolkata,Pune,1048.8,Road,3551.0,42,Textiles,5.4,162729.87
Kolkata,Chennai,628.0,Rail,1116.0,86,Automotive Components,6.3,18387.58
Visakhapatnam,Kochi,533.8,Air,2518.7,38,Heavy Machinery,4.0,175230.65
Visakhapatnam,Bengaluru,1423.7,Road,1621.7,1,Pharmaceuticals,3.7,99249.6
Bengaluru,Mumbai,866.2,Sea,4126.2,28,Consumer Goods,9.5,55849.02
Hyderabad,Mumbai,393.4,Road,4774.2,80,Textiles,7.3,85211.24
Hyderabad,Kolkata,723.7,Road,4131.9,74,Pharmaceuticals,4.0,122804.38
Pune,Visakhapatnam,1529.9,Road,2014.6,93,Automotive Components,10.0,142701.68
Chennai,Pune,830.8,Rail,855.8,78,Consumer Goods,1.5,16526.42
Visakhapatnam,Pune,780.0,Road,3506.9,46,Automotive Components,4.9,115276.27
Delhi,Kochi,1794.7,Road,4523.3,13,Textiles,9.8,360949.74
Kolkata,Chennai,1977.0,Road,2037.3,66,Consumer Goods,9.1,178537.74
Visakhapatnam,Bengaluru,789.3,Rail,251.8,20,Pharmaceuticals,5.1,6154.56
Chennai,Kochi,1401.2,Road,665.5,66,Consumer Goods,7.4,40358.5
Bengaluru,Delhi,2176.1,Road,1944.2,18,Consumer Goods,4.3,172728.51
Bengaluru,Hyderabad,1978.2,Road,2521.4,69,Automotive Components,5.3,203271.66
Bengaluru,Visakhapatnam,333.6,Road,1488.3,26,Heavy Machinery,6.8,22526.99
Mumbai,Kochi,1104.2,Rail,2463.1,68,Textiles,4.4,61827.1
Mumbai,Bengaluru,2066.7,Road,4796.1,95,Consumer Goods,8.0,454529.26
Hyderabad,Pune,625.5,Rail,431.4,4,Consumer Goods,4.1,7453.44
Hyderabad,Ahmedabad,669.2,Road,4027.4,45,Consumer Goods,2.8,110080.32
Chennai,Ahmedabad,1820.0,Rail,2303.9,57,Automotive Components,3.3,96551.27
Delhi,Visakhapatnam,901.9,Sea,3285.8,11,Consumer Goods,9.1,47109.03
Chennai,Pune,1007.9,Road,4848.4,66,Consumer Goods,7.8,220426.28
Kolkata,Ahmedabad,1535.5,Road,2324.8,9,Pharmaceuticals,9.1,159988.64
Hyderabad,Kochi,2139.0,Road,525.4,77,Textiles,9.4,52681.47
Ahmedabad,Kolkata,1470.5,Rail,4148.2,62,Consumer Goods,1.1,132135.52
Ahmedabad,Mumbai,2517.6,Road,1360.3,42,Consumer Goods,2.7,136820.75
Pune,Chennai,432.6,Road,4530.8,16,Consumer Goods,4.5,84197.32
Chennai,Kolkata,2148.5,Rail,455.6,82,Automotive Components,2.9,23280.89
Ahmedabad,Visakhapatnam,1590.6,Road,1178.5,37,Heavy Machinery,1.5,74500.91
Visakhapatnam,Chennai,2314.2,Rail,4841.9,29,Automotive Components,9.4,272059.65
Bengaluru,Hyderabad,988.5,Road,4407.3,32,Heavy Machinery,9.0,195273.29
Kolkata,Hyderabad,1427.6,Air,1133.2,82,Consumer Goods,2.7,213785.87
Kochi,Mumbai,2332.5,Road,3893.5,91,Pharmaceuticals,5.4,398740.96
Ahmedabad,Visakhapatnam,2354.2,Road,477.1,78,Automotive Components,9.8,52130.01
