distance_km,lead_time_days,supplier_count,transport_mode,weather_risk_score,port_congestion_index,predicted_delay_days
2251.0,57.6,7,Road,22.1,1.5,6.52
3361.6,41.6,25,Multimodal,19.3,9.7,12.68
2534.2,86.8,24,Sea,42.2,3.2,13.88
379.4,20.1,5,Rail,5.9,5.0,2.21
839.2,53.1,21,Road,91.7,3.2,6.64
990.9,63.2,20,Road,94.0,4.7,7.39
1164.1,74.4,29,Road,44.8,10.0,7.24
2546.5,36.9,37,Air,20.9,2.9,4.55
2270.3,62.0,20,Rail,47.1,2.8,6.91
918.2,27.6,18,Sea,10.0,3.7,7.39
308.7,39.5,4,Road,39.8,1.7,3.5
775.6,80.7,11,Multimodal,7.4,7.4,8.02
4429.8,85.5,22,Sea,70.6,3.8,18.94
2111.1,64.8,14,Road,27.6,5.8,7.12
3903.7,34.0,28,Road,52.1,6.6,9.74
3820.1,73.9,4,Road,1.4,0.4,8.84
2304.3,2.8,16,Road,52.5,6.4,5.38
3181.6,9.7,38,Rail,0.3,5.3,5.53
871.4,59.7,23,Road,92.5,0.8,7.3
3099.3,26.6,13,Road,50.1,1.2,7.6
1229.4,85.6,20,Rail,10.0,4.4,6.1
3745.1,39.5,5,Road,34.1,3.5,8.16
381.3,38.9,19,Road,4.6,4.4,3.41
3480.3,61.2,21,Road,53.1,6.4,10.01
454.2,69.2,5,Rail,12.2,1.5,4.17
3965.9,43.1,14,Sea,47.3,6.6,15.73
1372.4,19.7,36,Road,30.6,8.2,5.59
2946.5,69.7,6,Rail,76.2,0.0,8.09
2196.3,29.2,5,Rail,48.2,3.7,5.01
1651.5,16.2,24,Road,84.8,2.8,6.41
2906.3,57.0,29,Rail,94.1,4.3,8.74
4264.1,8.6,29,Road,97.0,6.2,10.0
190.5,87.4,2,Road,26.0,1.9,4.53
4135.2,57.1,6,Multimodal,76.8,1.3,13.21
2742.8,88.7,34,Multimodal,43.8,7.3,13.91
3633.9,30.8,12,Sea,42.6,6.9,14.6
1730.5,87.4,22,Road,86.8,4.6,9.14
2125.9,13.5,4,Road,14.6,5.0,4.34
3910.5,4.1,6,Rail,47.8,2.7,5.42
1869.7,3.5,3,Road,59.3,3.3,4.46
2408.3,42.1,13,Road,6.6,3.2,5.89
95.8,7.9,23,Rail,86.5,7.3,3.91
717.9,46.3,35,Road,31.4,5.6,5.54
2889.4,29.8,26,Air,65.7,7.3,4.65
3227.8,30.5,9,Road,92.8,5.9,8.6
2623.8,57.4,23,Rail,72.0,5.5,7.98
649.2,15.1,4,Road,88.6,3.2,3.86
2007.1,69.1,34,Rail,7.0,4.0,6.74
1601.2,52.6,37,Rail,49.3,8.9,7.24
2233.0,82.4,8,Road,56.5,5.8,8.4
3917.1,33.2,34,Multimodal,68.9,5.2,13.55
3492.5,88.5,37,Sea,11.7,0.5,15.4
382.5,52.0,6,Multimodal,65.7,6.7,7.09
4006.9,87.6,7,Air,14.6,6.9,5.37
2125.6,2.9,39,Rail,6.8,6.9,4.79
3348.7,65.7,36,Air,46.9,0.9,6.6
634.5,73.6,5,Road,60.0,3.0,5.8
3019.9,5.3,3,Road,95.8,3.7,6.98
1067.3,52.3,17,Road,69.9,8.3,6.4
1975.5,72.3,19,Road,59.1,9.8,8.15
80.8,50.7,1,Road,21.5,4.1,3.0
686.5,6.2,37,Road,15.2,5.5,3.77
418.9,62.6,9,Sea,60.7,0.1,7.14
1082.7,5.9,4,Road,22.3,0.1,2.43
454.6,73.7,10,Road,70.7,0.7,5.68
3115.1,4.4,32,Rail,11.4,7.2,5.68
135.5,12.8,1,Road,34.0,1.8,1.9
2781.7,25.1,23,Sea,77.3,7.6,13.97
637.5,57.2,17,Road,83.1,4.3,6.37
4253.5,87.9,30,Multimodal,34.5,8.5,16.39
4199.3,11.0,27,Sea,20.7,8.7,15.55
1018.6,13.3,15,Road,95.8,8.8,4.95
2766.8,33.5,38,Road,76.1,5.4,9.44
130.9,75.3,7,Sea,80.7,7.9,9.25
4193.4,42.3,33,Sea,22.3,6.6,16.9
2355.8,29.3,5,Sea,42.4,1.9,9.91
199.3,50.7,39,Sea,6.8,3.8,7.53
1544.5,23.8,34,Road,10.9,9.6,5.55
350.4,36.4,3,Road,22.1,7.7,2.93
1771.3,30.3,32,Road,30.3,2.6,6.24
3016.3,72.5,2,Air,99.7,2.8,6.54
2117.2,83.2,16,Rail,42.2,2.5,7.19
