distance_km,lead_time_days,supplier_count,transport_mode,weather_risk_score,geopolitical_risk_score,port_congestion_index,supplier_dependency_ratio,risk_score,disruption_risk_level
1843.9,47.2,18,Road,96.8,89.0,3.1,0.67,70.3,2
3350.8,28.6,10,Road,43.1,57.7,8.3,0.94,65.9,1
1550.6,1.7,23,Road,10.1,27.1,9.1,0.2,27.5,0
2766.8,26.0,11,Road,34.9,49.8,1.5,0.63,51.1,1
2185.2,76.3,1,Road,58.3,47.4,2.1,0.5,65.7,1
1467.3,10.1,12,Rail,93.4,9.8,2.2,0.45,45.6,1
3651.5,35.2,29,Rail,87.8,85.3,4.7,0.85,76.1,2
2161.4,67.9,20,Rail,6.1,56.3,10.0,0.77,57.1,1
1766.6,69.6,3,Road,55.8,23.0,1.0,0.28,51.7,1
1293.2,49.9,29,Sea,52.5,33.1,7.8,0.94,73.6,2
1240.7,66.6,25,Road,64.6,9.7,5.0,0.93,65.2,1
981.3,15.2,19,Road,49.6,85.5,7.8,0.26,42.2,1
1396.1,76.4,2,Road,86.5,67.7,0.5,0.82,73.9,2
297.4,39.7,20,Road,62.3,50.3,0.2,0.61,50.3,1
3368.0,25.0,28,Air,33.2,36.2,2.7,0.44,43.3,1
3547.8,29.5,20,Road,39.4,19.7,1.9,0.55,50.6,1
217.3,32.0,3,Road,20.0,82.2,9.3,0.46,39.1,0
2690.6,7.7,11,Rail,82.9,38.5,3.0,0.32,45.3,1
1278.2,27.4,35,Sea,67.9,50.4,7.9,0.37,58.1,1
2865.7,6.6,6,Road,80.2,13.0,7.5,0.19,43.5,1
903.0,13.8,22,Road,85.4,59.8,1.6,0.61,50.7,1
4158.0,10.2,39,Multimodal,85.0,0.7,5.9,0.47,55.8,1
43.9,62.3,3,Road,81.0,53.6,5.8,0.45,55.6,1
1431.7,58.3,9,Road,68.9,83.7,1.7,0.95,70.0,2
3594.6,15.3,33,Air,26.2,14.3,5.7,0.93,52.4,1
962.1,7.5,7,Sea,23.5,18.6,3.7,0.26,31.5,0
138.0,34.0,29,Road,30.4,55.9,6.4,0.37,35.6,0
1052.1,17.4,21,Rail,38.0,74.3,8.4,0.72,47.0,1
3431.2,45.3,1,Road,74.9,7.7,7.9,0.59,63.1,1
737.3,14.5,11,Road,24.5,54.8,4.6,0.31,33.1,0
1583.0,74.8,33,Rail,60.9,4.4,1.3,0.95,66.2,1
3488.1,22.4,12,Rail,32.0,41.9,0.8,0.14,39.8,0
1217.8,75.3,27,Sea,83.1,44.5,4.7,0.69,75.2,2
187.6,69.3,28,Road,64.0,46.3,5.5,0.92,67.3,1
4326.9,65.3,25,Multimodal,64.9,1.8,5.0,0.22,61.2,1
290.0,51.8,12,Road,3.6,7.4,7.3,0.19,29.3,0
1248.6,77.6,1,Road,31.7,83.1,0.1,0.66,61.4,1
3193.6,31.0,3,Road,96.2,97.5,0.4,0.56,71.2,2
2419.0,78.3,13,Rail,85.4,26.4,8.4,0.43,65.8,1
2830.7,22.4,38,Rail,61.7,66.1,8.2,0.74,59.6,1
1667.3,34.4,3,Rail,20.7,6.0,7.3,0.31,33.2,0
252.9,3.1,9,Rail,43.0,42.9,7.0,0.11,22.9,0
377.8,69.0,17,Rail,20.8,32.3,4.8,0.09,33.4,0
4381.6,22.1,32,Rail,40.1,62.9,8.1,0.38,54.0,1
3092.1,78.9,5,Road,78.4,76.6,9.0,0.4,76.3,2
1971.2,55.2,39,Air,77.7,18.4,9.5,0.81,64.6,1
93.3,24.4,24,Road,1.5,68.4,2.3,0.65,34.4,0
3308.9,88.8,4,Road,43.8,93.2,2.5,0.89,84.0,2
3073.3,34.5,18,Sea,28.3,78.4,3.6,0.71,63.4,1
1782.7,79.3,23,Road,74.5,79.4,4.5,0.67,72.9,2
3872.2,45.4,33,Road,71.0,17.2,0.7,0.86,70.9,2
3472.2,58.3,1,Road,41.3,85.3,1.9,0.22,58.0,1
3003.8,36.0,11,Road,99.9,10.4,2.4,0.12,53.1,1
3463.2,59.6,15,Rail,32.0,56.0,3.5,0.18,52.0,1
3391.6,37.5,26,Road,26.0,29.2,1.7,0.51,52.2,1
1566.3,78.4,29,Rail,85.6,54.4,8.6,0.55,70.0,2
3152.3,43.4,30,Multimodal,83.1,99.0,4.8,0.53,73.8,2
1056.7,51.8,15,Road,20.9,83.1,10.0,0.85,59.8,1
2041.6,70.5,18,Road,50.4,3.1,2.1,0.25,49.7,1
1331.5,40.4,5,Rail,21.5,85.5,7.5,0.24,40.8,1
3526.9,9.4,25,Rail,30.2,82.6,4.1,0.29,40.3,1
3786.1,2.1,17,Multimodal,24.7,66.5,3.8,0.4,45.8,1
2506.3,4.5,23,Rail,27.9,15.0,0.7,0.28,26.5,0
824.1,27.8,11,Rail,82.5,59.1,8.8,0.64,54.2,1
315.2,26.0,24,Road,29.9,60.9,5.5,0.28,35.6,0
502.3,79.3,2,Air,35.4,2.1,9.9,0.44,44.1,1
2893.1,16.7,32,Sea,82.1,24.1,5.9,0.36,61.4,1
3305.7,68.3,24,Road,3.5,38.3,9.7,0.55,56.1,1
4252.2,12.2,12,Road,64.1,83.5,0.8,0.4,60.3,1
3660.5,63.3,38,Road,4.4,30.6,6.4,0.58,57.9,1
4235.1,3.2,25,Sea,94.4,48.6,8.4,0.83,81.8,2
3095.1,57.1,11,Sea,66.7,51.5,1.0,0.31,63.5,1
3180.7,1.6,16,Road,67.9,45.7,3.1,0.77,56.4,1
493.3,43.9,35,Road,83.5,18.4,8.6,0.17,46.1,1
4419.4,87.8,16,Rail,22.3,7.2,5.4,0.73,68.5,1
2964.1,84.4,36,Road,44.5,10.0,1.8,0.11,55.1,1
3548.7,9.3,5,Rail,80.9,52.5,0.0,0.27,48.8,1
941.1,74.6,20,Road,68.9,9.1,9.2,0.94,70.2,2
2181.9,79.6,1,Sea,33.8,58.4,5.7,0.93,80.8,2
2062.4,85.6,35,Sea,50.3,72.1,9.1,0.16,73.6,2
1627.9,63.2,1,Rail,78.6,43.4,2.7,0.16,51.0,1
294.2,71.0,38,Road,34.9,5.8,7.6,0.11,40.0,1
1917.3,51.3,24,Sea,68.2,15.3,8.8,0.44,67.1,1
3726.9,1.3,22,Multimodal,14.6,21.4,8.7,0.12,39.5,0
1343.1,9.4,1,Rail,47.8,9.3,2.9,0.4,32.1,0
33.5,65.2,5,Road,91.4,9.9,7.9,0.82,65.0,1
1529.4,44.4,22,Road,74.8,66.9,5.3,0.86,68.9,1
2128.4,72.5,6,Rail,33.8,0.1,1.3,0.59,51.9,1
3091.1,37.2,24,Road,98.9,73.8,9.8,0.15,67.0,1
4280.1,48.6,19,Road,51.3,6.6,6.9,0.7,65.8,1
1057.8,47.7,30,Rail,86.3,20.1,8.5,0.27,46.6,1
2408.0,42.0,29,Road,92.7,1.5,8.1,0.69,63.5,1
3355.0,82.1,2,Sea,10.1,68.3,7.5,0.13,67.2,1
1131.7,61.3,6,Sea,45.5,97.8,2.7,0.8,68.8,1
2635.2,87.8,37,Rail,50.7,61.4,9.6,0.38,64.1,1
3291.6,7.9,20,Multimodal,59.8,93.5,6.3,0.39,60.8,1
369.7,55.8,27,Rail,39.3,19.6,6.6,0.76,46.9,1
3160.2,74.4,30,Sea,35.0,16.7,4.6,0.08,60.5,1
4461.8,68.5,18,Rail,56.8,42.0,5.7,0.79,76.7,2
1100.1,51.5,23,Road,4.8,32.6,5.2,0.64,46.3,1
806.6,42.9,32,Road,13.7,86.2,4.6,0.56,46.5,1
4120.1,44.9,22,Road,48.7,98.2,2.5,0.27,61.7,1
973.9,61.3,35,Road,36.0,3.8,6.8,0.07,37.9,0
3928.6,38.6,27,Air,28.1,12.2,9.6,0.26,45.9,1
1321.0,3.1,24,Sea,36.9,53.3,7.6,0.9,57.4,1
630.1,65.1,7,Road,74.9,35.9,7.7,0.61,62.1,1
239.7,57.2,25,Road,55.3,27.2,8.3,0.32,47.5,1
2966.3,46.7,14,Sea,7.3,49.3,9.4,0.39,60.3,1
3218.8,9.4,6,Road,62.6,97.8,3.9,0.3,51.6,1
2074.8,35.5,32,Rail,77.3,91.0,4.8,0.91,66.2,1
1284.7,47.2,32,Multimodal,59.7,48.9,0.5,0.27,42.5,1
660.9,56.6,20,Road,1.7,72.4,8.9,0.23,40.7,1
1078.6,34.6,17,Sea,23.4,24.8,6.7,0.74,55.3,1
137.4,0.9,22,Rail,11.8,96.6,7.1,0.32,25.0,0
3902.0,16.5,4,Road,64.5,1.9,8.9,0.89,65.2,1
96.0,62.7,3,Road,75.2,61.1,8.2,0.79,64.3,1
600.1,85.3,17,Rail,61.8,61.7,0.6,0.68,62.6,1
2450.4,36.0,35,Road,1.8,21.7,9.4,0.7,45.4,1
33.5,8.9,9,Road,80.0,15.9,0.3,0.59,37.7,0
3669.4,38.5,6,Rail,28.3,12.5,2.7,0.45,44.9,1
