scheduled_shipping_days,actual_shipping_days,delay_days,late_delivery_risk,shipping_mode,order_item_quantity,product_price,product_category,order_region,weather_risk_score,geopolitical_risk_score,port_congestion_index,supplier_dependency_ratio,order_value,scheduled_density,unit_item_value,log_order_value,scheduled_days_sq,is_express,high_supplier_dep,high_weather_risk,distance_km,normalized_route_distance,same_region_indicator,cross_region_indicator,trade_dependency_score,economic_risk_score,gdp_growth_rate,logistics_perf_index,infrastructure_quality,precipitation_risk,natural_hazard_score,risk_composite_index,delay_risk_ratio,cost_efficiency_ratio,weather_x_port,weather_x_geo,supplier_x_port,scheduled_x_weather,trade_x_geo,weather_x_infra,econ_x_supplier,weather_x_port_x_supplier,region_x_mode,category_x_mode
5.0,12.1,7.1,1,Standard Class,5,26.86,Apparel,Europe,57.3,99.4,4.5,0.87,134.3,0.9803921568627452,5.266666666666667,4.907494535176743,25.0,0,1,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,48.705,64.135,0.6589900000000001,15.28,5.266666666666667,257.84999999999997,5695.62,3.915,286.5,6798.960000000001,51.570000000000014,27.927,224.32949999999997,Europe_Standard Class,Apparel_Standard Class
1.0,3.8,2.8,1,Same Day,8,249.45,Industrial Parts,South Asia,26.5,87.7,3.3,0.46,1995.6,7.2727272727272725,30.796296296296298,7.599201012902324,1.0,1,0,0,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,22.525,43.75,0.47432500000000005,8.079268292682926,226.77272727272725,87.44999999999999,2324.05,1.518,26.5,7235.25,39.75,20.7,40.227,South Asia_Same Day,Industrial Parts_Same Day
3.0,11.1,8.1,1,Second Class,1,494.2,Automotive,Europe,57.6,84.7,9.5,0.73,494.2,0.3225806451612903,449.27272727272725,6.2049617213703865,9.0,0,1,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,48.96,75.595,0.7032550000000001,15.360000000000001,159.41935483870967,547.2,4878.72,6.935,172.8,5793.4800000000005,51.840000000000025,23.433,399.456,Europe_Second Class,Automotive_Second Class
5.0,8.0,3.0,1,Standard Class,5,105.92,Electronics,Europe,42.6,56.9,4.6,0.65,529.6,0.9803921568627452,20.768627450980393,6.274008441703639,25.0,0,0,0,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,36.21,47.195,0.504905,11.360000000000001,20.768627450980393,195.95999999999998,2423.94,2.9899999999999998,213.0,3891.96,38.34000000000002,20.865000000000002,127.374,Europe_Standard Class,Electronics_Standard Class
5.0,10.3,5.3,1,Standard Class,1,273.07,Electronics,North America,37.3,9.5,7.6,0.89,273.07,0.19607843137254904,248.24545454545452,5.613383548212584,25.0,0,1,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,31.705,41.959999999999994,0.474265,9.348370927318294,53.543137254901964,283.47999999999996,354.34999999999997,6.763999999999999,186.5,494.0,22.379999999999985,21.805,252.29719999999998,North America_Standard Class,Electronics_Standard Class
5.0,10.1,5.1,1,Standard Class,7,338.78,Electronics,North America,18.4,1.5,7.0,0.65,2371.46,1.3725490196078431,47.71549295774648,7.7716826704894775,25.0,0,0,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,15.639999999999999,29.655,0.351095,4.611528822055138,66.42745098039215,128.79999999999998,27.599999999999998,4.55,92.0,78.0,11.039999999999992,15.925,83.72,North America_Standard Class,Electronics_Standard Class
5.0,8.4,3.4,1,Standard Class,7,247.0,Chemicals,South Asia,56.2,83.9,2.4,0.21,1729.0,1.3725490196078431,34.7887323943662,7.455876687491824,25.0,0,0,0,1500.0,0.125,1,0,82.5,45.0,6.3,3.18,3.5,47.77,53.465,0.5119850000000001,17.134146341463413,48.43137254901961,134.88,4715.18,0.504,281.0,6921.750000000001,84.30000000000001,9.45,28.3248,South Asia_Standard Class,Chemicals_Standard Class
2.0,6.7,4.7,1,First Class,8,258.4,Chemicals,Europe,72.9,17.7,9.1,0.72,2067.2,3.8095238095238093,31.901234567901234,7.634433942750874,4.0,0,1,1,7500.0,0.625,0,1,68.4,32.1,0.5,3.65,4.1,61.965,64.53,0.627795,19.44,123.04761904761904,663.39,1290.3300000000002,6.552,145.8,1210.68,65.61000000000003,23.112000000000002,477.64079999999996,Europe_First Class,Chemicals_First Class
3.0,6.6,3.6,1,Second Class,7,334.0,Electronics,North America,57.1,7.7,5.4,0.37,2338.0,2.258064516129032,47.04225352112676,7.757478766584179,9.0,0,0,0,11500.0,0.9583333333333334,0,1,52.0,24.5,2.5,3.89,4.4,48.535,43.82000000000001,0.41885500000000003,14.31077694235589,107.74193548387096,308.34000000000003,439.67,1.998,171.3,400.40000000000003,34.259999999999984,9.065,114.0858,North America_Second Class,Electronics_Second Class
3.0,6.6,3.6,1,Second Class,9,409.3,Apparel,Latin America,6.9,71.0,8.6,0.28,3683.7000000000003,2.903225806451613,44.97802197802198,8.211944390183184,9.0,0,0,0,9500.0,0.7916666666666666,0,1,74.2,58.5,2.1,2.72,3.1,5.865,46.655,0.44726999999999995,2.4468085106382977,132.03225806451613,59.34,489.90000000000003,2.408,20.700000000000003,5268.2,13.11,16.380000000000003,16.6152,Latin America_Second Class,Apparel_Second Class
